"","id","name","image_url","is_closed","url","review_count","rating","price","phone","display_phone","distance","coordinates.latitude","coordinates.longitude","location.address1","location.city","location.zip_code","location.country","location.state","category","X","start","end","is.overnight","start.r","end.r"
"11","dough-zone-dumpling-house-seattle-2","Dough Zone Dumpling House","https://s3-media2.fl.yelpcdn.com/bphoto/OAoNnMaTkXFiiZAlHc_iVw/o.jpg",FALSE,"https://www.yelp.com/biz/dough-zone-dumpling-house-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",203,4,"$$",12062859999,"(206) 285-9999",924.830130620728,47.5981,-122.32742,"504 5th Avenue S","Seattle",98104,"US","WA","shanghainese",63,1100,2200,FALSE,1100,2200
"12","the-crab-pot-seattle-2","The Crab Pot","https://s3-media3.fl.yelpcdn.com/bphoto/QcWohCi_l4SEltLoFewM7g/o.jpg",FALSE,"https://www.yelp.com/biz/the-crab-pot-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",1781,3,"$$$",12066241890,"(206) 624-1890",475.491062567352,47.606062903242,-122.340865619481,"1301 Alaskan Way","Seattle",98101,"US","WA",NA,198,1100,2108.57142857143,FALSE,1100,2109
"13","reckless-noodle-house-seattle-2","Reckless Noodle House","https://s3-media3.fl.yelpcdn.com/bphoto/SdjLsyM7uR5d7cTdWm9boA/o.jpg",FALSE,"https://www.yelp.com/biz/reckless-noodle-house-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",21,4.5,"$$",12063295499,"(206) 329-5499",2754.35450809706,47.5991,-122.29906,"2519 S Jackson St","Seattle",98144,"US","WA",NA,159,1600,433.333333333333,TRUE,1600,433
"14","ludis-seattle","Ludi's","https://s3-media4.fl.yelpcdn.com/bphoto/FaUSTpPQZVSaK3CuWjrbRw/o.jpg",FALSE,"https://www.yelp.com/biz/ludis-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",359,4,"$",12066822324,"(206) 682-2324",618.325881936036,47.60964,-122.33876,"200 Pike St","Seattle",98101,"US","WA",NA,74,600,2000,FALSE,600,2000
"15","cafe-anclair-seattle","Cafe An'Clair","https://s3-media4.fl.yelpcdn.com/bphoto/3FadVWi1Lel1aAI4EHjXZg/o.jpg",FALSE,"https://www.yelp.com/biz/cafe-anclair-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",20,5,"$$",NA,"",1845.72310861839,47.620994785236,-122.339971723271,"826 Thomas St","Seattle",98109,"US","WA",NA,256,700,1700,FALSE,700,1700
"16","karaage-setsuna-seattle","Karaage Setsuna","https://s3-media3.fl.yelpcdn.com/bphoto/DU7Vfc6Cey7EVBsD-tX4Rw/o.jpg",FALSE,"https://www.yelp.com/biz/karaage-setsuna-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",114,4.5,"$$",12064483595,"(206) 448-3595",1494.56931133975,47.61493,-122.34756,"2421 2nd Ave","Seattle",98121,"US","WA","japanese",124,1440.90909090909,1798.18181818182,FALSE,1441,1798
"17","cook-weaver-seattle-2","Cook Weaver","https://s3-media4.fl.yelpcdn.com/bphoto/XqlMOeZIRtI96axw032OvA/o.jpg",FALSE,"https://www.yelp.com/biz/cook-weaver-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",104,4.5,"$$",12063240599,"(206) 324-0599",661.7811431784,47.62522,-122.32172,"806 E Roy St","Seattle",98102,"US","WA",NA,94,1500,2200,FALSE,1500,2200
"18","zheng-cafe-seattle-2","Zheng Cafe","https://s3-media4.fl.yelpcdn.com/bphoto/yqAr18IX2JxoWag4CjKW4g/o.jpg",FALSE,"https://www.yelp.com/biz/zheng-cafe-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",28,5,"$$",12065882882,"(206) 588-2882",2009.62119618028,47.62071,-122.34476,"230 6th Ave N","Seattle",98109,"US","WA","chinese",227,1100,2000,FALSE,1100,2000
"19","cafe-anclair-seattle","Cafe An'Clair","https://s3-media4.fl.yelpcdn.com/bphoto/3FadVWi1Lel1aAI4EHjXZg/o.jpg",FALSE,"https://www.yelp.com/biz/cafe-anclair-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",20,5,"$$",NA,"",1711.28108184006,47.620994785236,-122.339971723271,"826 Thomas St","Seattle",98109,"US","WA",NA,256,700,1700,FALSE,700,1700
"20","list-seattle","List","https://s3-media1.fl.yelpcdn.com/bphoto/1SAsDex924II8SouZwGzAw/o.jpg",FALSE,"https://www.yelp.com/biz/list-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",1487,4.5,"$$",12064411000,"(206) 441-1000",2637.03193840555,47.61334,-122.34587,"2226 1st Ave","Seattle",98121,"US","WA","italian",106,1600,0,FALSE,1600,0
"21","ittos-2-capitol-hill-seattle","Itto's - 2 Capitol Hill","https://s3-media1.fl.yelpcdn.com/bphoto/j8J6IAOcgImUVioH8sgZ1g/o.jpg",FALSE,"https://www.yelp.com/biz/ittos-2-capitol-hill-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",30,5,"$$",12063250470,"(206) 325-0470",773.236634408024,47.62445,-122.32553,"601 Summit Ave E","Seattle",98102,"US","WA",NA,230,1600,28.5714285714286,TRUE,1600,29
"22","med-mix-seattle-3","Med Mix","https://s3-media1.fl.yelpcdn.com/bphoto/sJglO0FfLi9fZ8KLmnWDqQ/o.jpg",FALSE,"https://www.yelp.com/biz/med-mix-seattle-3?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",8,5,"$",12063255642,"(206) 325-5642",3826.96945447122,47.59946,-122.30302,"2204 S Jackson St","Seattle",98144,"US","WA","mediterranean",232,1100,2100,FALSE,1100,2100
"23","chan-seattle-seattle-2","Chan Seattle","https://s3-media4.fl.yelpcdn.com/bphoto/GW_ZhVgN9AFy6R7uJwB8Ig/o.jpg",FALSE,"https://www.yelp.com/biz/chan-seattle-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",670,4.5,"$$",12064435443,"(206) 443-5443",2745.86240571025,47.6098823547363,-122.341438293457,"86 Pine St","Seattle",98101,"US","WA",NA,168,1700,2200,FALSE,1700,2200
"24","spin-seattle-3","SPiN","https://s3-media3.fl.yelpcdn.com/bphoto/cDcT2A_fTMeXvOBJLfI6Tw/o.jpg",FALSE,"https://www.yelp.com/biz/spin-seattle-3?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",22,4.5,"$$",12066863593,"(206) 686-3593",2364.29106903021,47.61157,-122.3353,"1511 6th Ave","Seattle",98101,"US","WA",NA,157,1371.42857142857,371.428571428571,TRUE,1371,371
"25","karaage-setsuna-seattle","Karaage Setsuna","https://s3-media3.fl.yelpcdn.com/bphoto/DU7Vfc6Cey7EVBsD-tX4Rw/o.jpg",FALSE,"https://www.yelp.com/biz/karaage-setsuna-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",114,4.5,"$$",12064483595,"(206) 448-3595",2594.01377744773,47.61493,-122.34756,"2421 2nd Ave","Seattle",98121,"US","WA","japanese",124,1440.90909090909,1798.18181818182,FALSE,1441,1798
"26","reckless-noodle-house-seattle-2","Reckless Noodle House","https://s3-media3.fl.yelpcdn.com/bphoto/SdjLsyM7uR5d7cTdWm9boA/o.jpg",FALSE,"https://www.yelp.com/biz/reckless-noodle-house-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",21,4.5,"$$",12063295499,"(206) 329-5499",3983.10806383972,47.5991,-122.29906,"2519 S Jackson St","Seattle",98144,"US","WA",NA,159,1600,433.333333333333,TRUE,1600,433
"27","great-nw-soup-seattle","Great NW Soup","https://s3-media1.fl.yelpcdn.com/bphoto/A_K2EDCBpUEqDOOq7n6B9A/o.jpg",FALSE,"https://www.yelp.com/biz/great-nw-soup-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",27,5,"$",12065823503,"(206) 582-3503",346.187912041002,47.6309632983408,-122.327419319811,"1201 Eastlake Ave E","Seattle",98102,"US","WA",NA,241,700,1500,FALSE,700,1500
"28","monsoon-seattle-seattle-4","Monsoon Seattle","https://s3-media3.fl.yelpcdn.com/bphoto/8VTR6ES3Qh6ReUAmB4dUaw/o.jpg",FALSE,"https://www.yelp.com/biz/monsoon-seattle-seattle-4?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",501,4,"$$",12063252111,"(206) 325-2111",1332.05057621715,47.62493,-122.3076,"615 19th Ave E","Seattle",98112,"US","WA","vietnamese",71,1088.57142857143,0,FALSE,1089,0
"29","suika-seattle-seattle","Suika Seattle","https://s3-media2.fl.yelpcdn.com/bphoto/4cgpVxAB6PQkfmKxJWDrqg/o.jpg",FALSE,"https://www.yelp.com/biz/suika-seattle-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",502,4,"$$",12067479595,"(206) 747-9595",1799.44683625563,47.6149776553302,-122.323858731759,"611 E Pine St","Seattle",98122,"US","WA",NA,89,1666.66666666667,2263.33333333333,FALSE,1667,2263
"30","stock-seattle","Stock","https://s3-media2.fl.yelpcdn.com/bphoto/gQTs96hRc6ZEyWt0jynS8w/o.jpg",FALSE,"https://www.yelp.com/biz/stock-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",177,4.5,"$$",12064023281,"(206) 402-3281",1307.90807556467,47.67614,-122.36281,"500 NW 65th St","Seattle",98117,"US","WA",NA,109,1000,2030,FALSE,1000,2030
"31","opus-co-seattle-2","Opus Co","https://s3-media1.fl.yelpcdn.com/bphoto/jhabaefg31PA3hOiyHozvQ/o.jpg",FALSE,"https://www.yelp.com/biz/opus-co-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",37,4.5,"$$$",12064208360,"(206) 420-8360",1203.7298558233,47.68286,-122.35507,"7410 Greenwood Ave N","Seattle",98103,"US","WA",NA,169,1700,2200,FALSE,1700,2200
"32","mkt-seattle","mkt.","https://s3-media1.fl.yelpcdn.com/bphoto/noWPuQMyCi--QtF546BOhw/o.jpg",FALSE,"https://www.yelp.com/biz/mkt-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",255,4.5,"$$$",12068121580,"(206) 812-1580",1116.99130676723,47.6686946,-122.3329512,"2108 N 55th St","Seattle",98103,"US","WA",NA,164,1700,2200,FALSE,1700,2200
"33","flintcreek-cattle-seattle-2","Flintcreek Cattle","https://s3-media4.fl.yelpcdn.com/bphoto/oSTIRuwo60fTpqba3Zki6w/o.jpg",FALSE,"https://www.yelp.com/biz/flintcreek-cattle-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",210,4.5,"$$$",12064575656,"(206) 457-5656",1959.72906353354,47.6904199617095,-122.355570159853,"8421 Greenwood Ave N","Seattle",98103,"US","WA",NA,170,1600,2230,FALSE,1600,2230
"34","seattle-meowtropolitan-seattle","Seattle Meowtropolitan","https://s3-media1.fl.yelpcdn.com/bphoto/secq2WFoV1DxbGZN1WFNRA/o.jpg",FALSE,"https://www.yelp.com/biz/seattle-meowtropolitan-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",194,4.5,"$",12066322330,"(206) 632-2330",1451.21769030592,47.66125,-122.34291,"1225 N 45th St","Seattle",98103,"US","WA",NA,139,757.142857142857,2057.14285714286,FALSE,757,2057
"35","asadero-ballard-seattle","Asadero Ballard","https://s3-media1.fl.yelpcdn.com/bphoto/8Rugzh7N9nm7AADh_ILj2A/o.jpg",FALSE,"https://www.yelp.com/biz/asadero-ballard-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",294,4.5,"$$",12066594499,"(206) 659-4499",2908.41250348984,47.66687,-122.38282,"5405 Leary Ave NW","Seattle",98107,"US","WA","mexican",162,1100,2200,FALSE,1100,2200
"36","rockcreek-seafood-and-spirits-seattle","RockCreek Seafood & Spirits","https://s3-media3.fl.yelpcdn.com/bphoto/zI7xocgerUgZ3kdOwE65Ew/o.jpg",FALSE,"https://www.yelp.com/biz/rockcreek-seafood-and-spirits-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",694,4.5,"$$$",12065577532,"(206) 557-7532",1663.7867317353,47.6594842489603,-122.349788737434,"4300 Fremont Ave N","Seattle",98103,"US","WA",NA,125,1444.44444444444,2122.22222222222,FALSE,1444,2122
"37","duck-island-ale-house-seattle","Duck Island Ale House","https://s3-media2.fl.yelpcdn.com/bphoto/Uixlp-1103GG1IoPc5ORmQ/o.jpg",FALSE,"https://www.yelp.com/biz/duck-island-ale-house-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",103,4.5,"$",12067833360,"(206) 783-3360",901.847492410696,47.6822609,-122.344844,"7317 Aurora Ave N","Seattle",98103,"US","WA",NA,137,1400,200,TRUE,1400,200
"38","the-walrus-and-the-carpenter-seattle","The Walrus and the Carpenter","https://s3-media2.fl.yelpcdn.com/bphoto/dQzdhguIoG6EzwaodGZnQg/o.jpg",FALSE,"https://www.yelp.com/biz/the-walrus-and-the-carpenter-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",1364,4,"$$$",12063959227,"(206) 395-9227",2858.38795161203,47.66351,-122.38022,"4743 Ballard Ave NW","Seattle",98107,"US","WA",NA,24,1600,2200,FALSE,1600,2200
"39","tarsan-i-jane-seattle-2","Tarsan I Jane","https://s3-media4.fl.yelpcdn.com/bphoto/God4xbNrE0ghmxvPcw9jBQ/o.jpg",FALSE,"https://www.yelp.com/biz/tarsan-i-jane-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",65,4,"$$$$",NA,"",2318.59661363282,47.65644,-122.36175,"4012 Leary Way NW","Seattle",98107,"US","WA",NA,50,1625,2025,FALSE,1625,2025
"40","north-star-diner-and-shanghai-room-seattle","North Star Diner & Shanghai Room","https://s3-media2.fl.yelpcdn.com/bphoto/i4UYsGESbVTekOoQjQOUAw/o.jpg",FALSE,"https://www.yelp.com/biz/north-star-diner-and-shanghai-room-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",195,4,"$$",12064575794,"(206) 457-5794",2134.68297523255,47.6922343371546,-122.355083066272,"8580 Greenwood Ave N","Seattle",98103,"US","WA",NA,16,0,0,TRUE,0,0
"41","himalayan-sherpa-house-seattle","Himalayan Sherpa House","https://s3-media1.fl.yelpcdn.com/bphoto/1Wbbr7Yx_d-HLaMqGuQQpQ/o.jpg",FALSE,"https://www.yelp.com/biz/himalayan-sherpa-house-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",105,4,"$$",12066333538,"(206) 633-3538",1178.89706176929,47.6688467053947,-122.3318429814,"2227 N 56th St","Seattle",98103,"US","WA",NA,80,1575,1990,FALSE,1575,1990
"42","beths-cafe-seattle","Beth's Cafe","https://s3-media1.fl.yelpcdn.com/bphoto/63st9LjeRht23WtbDPSwZA/o.jpg",FALSE,"https://www.yelp.com/biz/beths-cafe-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",1212,3.5,"$$",12067825588,"(206) 782-5588",885.32357722356,47.68209,-122.3447,"7311 Aurora Ave N","Seattle",98103,"US","WA",NA,305,600,600,TRUE,600,600
"43","tokara-seattle-2","Tokara","https://s3-media3.fl.yelpcdn.com/bphoto/WVvP1CVDd_Ifss7E_sKPvg/o.jpg",FALSE,"https://www.yelp.com/biz/tokara-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",20,4.5,"$$$",12067840226,"(206) 784-0226",646.670466049848,47.674201965332,-122.354103088379,"6208 Phinney Ave N","Seattle",98103,"US","WA","japanese",119,1300,1800,FALSE,1300,1800
"44","il-corvo-pasta-seattle","Il Corvo Pasta","https://s3-media4.fl.yelpcdn.com/bphoto/hSlULB9cJ9xulzYDulwtYA/o.jpg",FALSE,"https://www.yelp.com/biz/il-corvo-pasta-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",811,4.5,"$$",12065380999,"(206) 538-0999",149.79507630451,47.60244,-122.33165,"217 James St","Seattle",98104,"US","WA","italian",93,1100,1500,FALSE,1100,1500
"45","tsukushinbo-seattle","Tsukushinbo","https://s3-media1.fl.yelpcdn.com/bphoto/DZ-Qsai5udTplG9e1k2r2Q/o.jpg",FALSE,"https://www.yelp.com/biz/tsukushinbo-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",688,4,"$$",12064674004,"(206) 467-4004",335.631447598474,47.59985,-122.32681,"515 S Main St","Seattle",98104,"US","WA","japanese",68,1534.54545454545,1920.90909090909,FALSE,1535,1921
"46","damn-the-weather-seattle","Damn the Weather","https://s3-media2.fl.yelpcdn.com/bphoto/PwwO_oHEXrxzgq88eGGJ9g/o.jpg",FALSE,"https://www.yelp.com/biz/damn-the-weather-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",328,4,"$$",12069461283,"(206) 946-1283",342.388755173052,47.6011167,-122.3340814,"116 1st Ave S","Seattle",98104,"US","WA",NA,6,1242.85714285714,1671.42857142857,TRUE,1243,1671
"47","the-organic-coup-seattle","The Organic Coup","https://s3-media3.fl.yelpcdn.com/bphoto/5Ca52DbGS6YjU_Lkib_LhA/o.jpg",FALSE,"https://www.yelp.com/biz/the-organic-coup-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",8,3,NA,12062575740,"(206) 257-5740",273.536642461014,47.6045299,-122.33061,"701 5th Ave","Seattle",98104,"US","WA",NA,218,700,1500,FALSE,700,1500
